NodeID	MNI_x	MNI_y	MNI_z	Desikan-Killiany_aparc_label	Chan_system_type	Power_system_label	Power_label	Power_red	Power_green	Power_blue	Vertex	Hemisphere	Chan_JON2017
143	-45.867	-15.244	-34.95	Inferior_temporal_gyrus	N/A	Inferior_temporal_pole	10	0.675	0.675	0.675	22254	L	0
144	-51.308	-30.98	-25.822	Middle_temporal_gyrus	N/A	Ventral_frontral_temporal	2	0.502	0.502	0.502	22263	L	0
145	-45.154	-40.845	-19.187	Inferior_temporal_gyrus	N/A	Ventral_frontral_temporal	2	0.502	0.502	0.502	22536	L	0
146	-31.178	-40.154	-22.366	Inferior_temporal_gyrus	N/A	Unknown_medial_temporal_parietal	21	1	0.973	0.706	22877	L	1
147	-33.953	-51.645	-18.249	Inferior_temporal_gyrus	Sensory-motor	Visual	5	0	0	1	22883	L	1
148	-34.057	-24.854	-20.753	Fusiform_gyrus	N/A	Inferior_temporal_pole	10	0.675	0.675	0.675	22890	L	1
149	-33.586	-35.033	-13.917	Fusiform_gyrus	N/A	Unknown_medial_temporal_parietal	21	1	0.973	0.706	23022	L	1
150	-20.163	-97.843	12.629	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	23299	L	1
151	-39.83	-85.866	-2.9176	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	23437	L	1
152	-54.808	-59.559	-9.6247	Middle_temporal_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	23514	L	1
153	-43.954	-61.991	-4.4138	Inferior_temporal_gyrus	Association	Dorsal_attention	15	0	0.863	0	23663	L	1
154	-41.156	-72.119	-5.9354	Inferior_temporal_gyrus	Sensory-motor	Visual	5	0	0	1	23715	L	1
155	-24.142	-98.528	-3.381	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	23780	L	1
156	-32.031	-88.674	-14.381	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	23855	L	0
157	-9.9944	-103.2	-0.092071	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	23873	L	1
158	-20.271	-97.574	-13.838	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	24024	L	0
159	-35.049	-79.739	-13.377	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	24083	L	1
160	-17.723	-89.318	-8.7667	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	24291	L	1
161	-9.9942	-96.614	-13.098	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	24297	L	0
162	-32.946	-64.267	-15.174	Inferior_temporal_gyrus	Sensory-motor	Visual	5	0	0	1	24484	L	1
163	-24.59	-71.622	-4.8911	Fusiform_gyrus	Sensory-motor	Visual	5	0	0	1	24589	L	1
164	-9.2689	-92.177	-3.9993	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	24871	L	1
165	-6.9627	-74.571	-1.2019	Lingual_gyrus	Sensory-motor	Visual	5	0	0	1	24909	L	1
166	-8.4697	-95.725	12.429	Lateral_occipital_cortex	Sensory-motor	Visual	5	0	0	1	24941	L	1
167	-12.117	-63.347	-2.887	Lingual_gyrus	Sensory-motor	Visual	5	0	0	1	25003	L	1
168	-8.223	-81.342	2.4912	Pericalcarine_cortex	Sensory-motor	Visual	5	0	0	1	25257	L	1
169	-3.1148	-88.628	17.042	Cuneus	Sensory-motor	Visual	5	0	0	1	25276	L	1
170	-5.0606	-89.918	29.362	Superior_parietal_cortex	Sensory-motor	Visual	5	0	0	1	25328	L	1
171	-2.9781	-79.022	9.5513	Cuneus	Sensory-motor	Visual	5	0	0	1	25439	L	1
172	-12.076	-78.563	11.699	Pericalcarine_cortex	Sensory-motor	Visual	5	0	0	1	25512	L	1
173	-13.748	-76.032	22.602	Cuneus	Sensory-motor	Visual	5	0	0	1	25806	L	1
174	-24.848	-62.447	6.6877	Pericalcarine_cortex	Sensory-motor	Visual	5	0	0	1	25813	L	1
175	-16.642	-62.256	24.795	Precuneus	Association	Default	3	1	0	0	26039	L	1
176	-11.264	-57.461	15.575	Precuneus	Association	Default	3	1	0	0	26071	L	1
177	-3.8	-53.919	14.475	Precuneus	Association	Default	3	1	0	0	26185	L	1
178	-2.7937	-60.745	26.105	Precuneus	Association	Default	3	1	0	0	26208	L	1
179	-3.8331	-50.292	28.794	Precuneus	Association	Default	3	1	0	0	26267	L	1
180	-20.701	-2.5198	-28.548	Medial_wall	N/A	Inferior_temporal_pole	10	0.675	0.675	0.675	26452	L	0
181	-19.24	-24.646	-22.86	Parahippocampal_gyrus	N/A	Ventral_frontral_temporal	2	0.502	0.502	0.502	26523	L	1
182	-21.417	-17.731	-21.018	Parahippocampal_gyrus	N/A	Hippocampus	23	0	0.157	0.314	26618	L	1
183	-15.854	-37.522	-11.653	Lingual_gyrus	N/A	Unknown_medial_temporal_parietal	21	1	0.973	0.706	26734	L	1
184	-15.022	61.375	-6.3289	Frontal_pole	N/A	Frontal_pole	13	0.631	0.631	0.631	27891	L	0
185	-8.6268	39.227	-10.807	Rostral_anterior_cingulate_gyrus	Association	Default	3	1	0	0	27915	L	1
186	-29.82	53.467	3.2986	Rostral_middle_frontal_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	27933	L	1
187	-6.3327	59.637	0.44418	Superior_frontal_gyrus	Association	Default	3	1	0	0	28262	L	0
188	-25.449	50.44	12.578	Rostral_middle_frontal_gyrus	Association	Salience	20	0	0	0	28380	L	1
189	-10.448	68.194	8.6153	Superior_frontal_gyrus	Association	Default	3	1	0	0	28439	L	0
190	-4.2231	43.322	2.3508	Rostral_anterior_cingulate_gyrus	Association	Default	3	1	0	0	28461	L	1
191	-16.01	60.661	19.417	Superior_frontal_gyrus	Association	Default	3	1	0	0	28718	L	1
192	-9.7887	43.722	10.446	Rostral_anterior_cingulate_gyrus	Association	Default	3	1	0	0	28741	L	1
193	-6.9485	51.243	19.319	Superior_frontal_gyrus	Association	Default	3	1	0	0	28872	L	1
194	-14.965	53.749	30.376	Superior_frontal_gyrus	Association	Default	3	1	0	0	28982	L	1
195	-6.7387	58.88	33.997	Superior_frontal_gyrus	Association	Default	3	1	0	0	28988	L	1
196	-5.331	42.796	28.258	Superior_frontal_gyrus	Association	Default	3	1	0	0	29131	L	1
197	-5.8453	52.943	41.226	Superior_frontal_gyrus	Association	Default	3	1	0	0	29167	L	1
198	-6.0763	35.841	38.066	Superior_frontal_gyrus	N/A	Unknown_similar_to_Nelson_2010	26	1	0.706	0.353	29290	L	1
199	-6.1256	43.805	50.689	Superior_frontal_gyrus	Association	Default	3	1	0	0	29325	L	1
200	-10.888	31.174	54.655	Superior_frontal_gyrus	Association	Default	3	1	0	0	29462	L	1
201	-21.374	45.379	35.763	Superior_frontal_gyrus	Association	Default	3	1	0	0	29494	L	1
202	-37.255	46.272	17.636	Rostral_middle_frontal_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	29680	L	1
203	-19.73	33.337	47.44	Superior_frontal_gyrus	Association	Default	3	1	0	0	29765	L	1
204	-25.632	36.476	28.276	Rostral_middle_frontal_gyrus	Association	Salience	20	0	0	0	29793	L	1
205	-21.518	22.671	54.018	Superior_frontal_gyrus	Association	Default	3	1	0	0	30002	L	1
206	-26.113	30.503	38.068	Superior_frontal_gyrus	Association	Default	3	1	0	0	30070	L	1
207	-24.055	15.586	45.914	Superior_frontal_gyrus	Association	Default	3	1	0	0	30278	L	1
208	-41.669	15.291	39.239	Caudal_middle_frontal_gyrus	Association	Default	3	1	0	0	30631	L	1
209	-39.908	11.499	54.548	Caudal_middle_frontal_gyrus	Association	Default	3	1	0	0	30689	L	1
210	-47.466	6.7071	-11.892	Insular_cortex	N/A	Inferior_insula	25	0.773	0.773	0.773	31232	L	1
211	-38.164	-25.591	12.146	Insular_cortex	Sensory-motor	Auditory	24	1	0	1	31312	L	1
212	-44.876	-17.12	2.5519	Insular_cortex	N/A	Inferior_insula	25	0.773	0.773	0.773	31350	L	1
213	-43.544	20.595	-27.677	Superior_temporal_gyrus	N/A	Lateral_temporal_pole	17	0.863	0.863	0.863	31368	L	0
214	-58.466	-0.066442	-0.5728	Superior_temporal_gyrus	Sensory-motor	Auditory	24	1	0	1	31568	L	1
215	-55.14	-17.182	5.0323	Transverse_temporal_cortex	Sensory-motor	Auditory	24	1	0	1	31705	L	1
216	-48.595	1.251	-22.421	Superior_temporal_gyrus	Association	Default	3	1	0	0	31798	L	1
217	-56.368	-16.352	-4.6309	Superior_temporal_gyrus	N/A	Superior_temporal_gyrus	9	1	0.722	0.827	32018	L	1
218	-55.856	-6.0551	-26.761	Superior_temporal_gyrus	N/A	Lateral_temporal_pole	17	0.863	0.863	0.863	32057	L	0
219	-52.499	-8.6954	-17.009	Superior_temporal_gyrus	Association	Default	3	1	0	0	32066	L	1
220	-53.289	-25.969	-1.347	Superior_temporal_gyrus	N/A	Superior_temporal_gyrus	9	1	0.722	0.827	32215	L	1
221	-64.625	-23.234	-9.0024	Superior_temporal_gyrus	Association	Default	3	1	0	0	32360	L	0
222	19.79	-41.074	69.317	Superior_parietal_cortex	Sensory-motor	Hand_somatomotor	4	0	1	1	1	R	1
